yearID;New York Yankees;Boston Red Sox;Chicago White Sox
1908;;564;537
1909;;601;492
1910;;641;457
1911;;680;719
1912;;799;639
1913;529;631;488
1914;537;589;487
1915;584;669;717
1916;577;550;601
1917;524;555;656
1918;493;474;457
1919;578;564;667
1920;838;650;794
1921;948;668;683
1922;758;598;691
1923;823;584;692
1924;798;737;793
1925;706;639;811
1926;847;562;730
1927;975;597;662
1928;894;589;656
1929;899;605;627
1930;1062;612;729
1931;1067;625;704
1932;1002;566;667
1933;927;700;683
1934;842;820;704
1935;818;718;738
1936;1065;775;920
1937;979;821;780
1938;966;902;709
1939;967;890;755
1940;817;872;735
1941;830;865;638
1942;801;761;538
1943;669;563;573
1944;674;739;543
1945;676;599;596
1946;684;792;562
1947;794;720;553
1948;857;907;559
1949;829;896;648
1950;914;1027;625
1951;798;804;714
1952;727;668;610
1953;801;656;716
1954;805;700;711
1955;762;755;725
1956;857;780;776
1957;723;721;707
1958;759;697;634
1959;687;726;669
1960;746;658;741
1961;827;729;765
1962;817;707;707
1963;714;666;683
1964;730;688;642
1965;611;669;647
1966;611;655;574
1967;522;722;531
1968;536;614;463
1969;562;743;625
1970;680;786;633
1971;648;691;617
1972;557;640;566
1973;641;738;652
1974;671;696;684
1975;681;796;655
1976;730;716;586
1977;831;859;844
1978;735;796;634
1979;734;841;730
1980;820;757;587
1981;421;519;476
1982;709;753;786
1983;770;724;800
1984;758;810;679
1985;839;800;736
1986;797;794;644
1987;788;842;748
1988;772;813;631
1989;698;774;693
1990;603;699;682
1991;674;731;758
1992;733;599;738
1993;821;686;776
1994;670;552;633
1995;749;791;755
1996;871;928;898
1997;891;851;779
1998;965;876;861
1999;900;836;777
2000;871;792;978
2001;804;772;798
2002;897;859;856
2003;877;961;791
2004;897;949;865
2005;886;910;741
2006;930;820;868
2007;968;867;693
2008;789;845;811
2009;915;872;724
2010;859;818;752
2011;867;875;654
2012;804;734;748
2013;650;853;598
2014;633;634;660
2015;764;748;622
2016;680;878;686
2017;858;785;706
2018;851;876;656
2019;943;901;708
2020;315;292;306
2021;711;829;796
